プロトコル名,RFC,ポート番号,説明
BGP,RFC4271,TCP/179,自律システム間でのルーティングを行うプロトコル
DHCP client,RFC2131,UDP/68,IPv4ネットワークで動作するホストへ構成情報を渡すプロトコルにおいて、サーバから情報を受け取るポート
DHCP server,RFC2131,UDP/67,IPv4ネットワークで動作するホストへ構成情報を渡すプロトコルにおいて、サーバ側が待ち受けているポート
DHCPv6 client,RFC8415,UDP/546,IPv6ネットワークで動作するホストへ構成情報を渡すプロトコルにおいて、サーバから情報を受け取るポート
DHCPv6 server,RFC8415,UDP/547,IPv6ネットワークで動作するホストへ構成情報を渡すプロトコルにおいて、サーバ側が待ち受けているポート
DNS over TLS,RFC7858,TCP/853,ドメイン名とIPアドレスの対応付けや、メールの宛先ホストを指示を、TLSコネクション上で行うシステム用のポート
DNS,RFC1034、RFC1035,TCP/53、UDP/53,ドメイン名とIPアドレスの対応付けや、メールの宛先ホストを指示するためのシステム
FTP-data,RFC959,TCP/20,データを確実かつ効率的に転送するなどの目的を持つプロトコルのうち、データが転送されるコネクションに用いられる
FTP,RFC959,TCP/21,データを確実かつ効率的に転送するなどの目的を持つプロトコルのうち、コマンドやリプライのやりとりを行うコネクションに用いられる
HSRP,RFC2281,UDP/1985,複数のルータを冗長させ、一台のルータとして扱うCisco独自のプロトコル
HTTP,RFC9110,TCP/80,ハイパーテキストを用いた情報システムのための、ステートレスのプロトコル
HTTPS,RFC9110,TCP/443,ハイパーテキストを用いた情報システムのための通信を、TLSを用いたコネクション上で行うことのできるプロトコル
IKE,RFC7296,UDP/500,IPsecのコンポーネントの一つ。相互認証及びSAの確立と維持に用いられる。
IMAP,RFC9051,TCP/143,クライアントが、サーバ上の電子メールへのアクセスと、その操作を行うためのプロトコル。クライアントにはメールのデータは保持されない。
IMAPS,RFC9051,TCP/993,クライアントが、サーバ上の電子メールへのアクセスと、その操作を行うためのプロトコルをTLSを用いたコネクション上で行うポート
IPP,RFC8010、RFC8011,TCP/631,HTTPをベースにした、印刷情報や制御情報をネットワーク経由でプリンタに送信するプロトコル
IRC,RFC1549,TCP/6667,インターネットを通じて複数の利用者がリアルタイムチャットを行うためのプロトコル。Well-Knownとして194もあるが使われていない。
Kerberos,RFC4120,TCP/88、UDP/88,保護されていないネットワーク上で、ユーザやサーバの身元を認証するための手段を提供するプロトコル
LDAP,RFC4510-4519,TCP/389,X.500に基づいて分散型ディレクトリ上の情報にアクセスするためのプロトコル
LDAPS,RFC4510-4519,TCP/636,X.500に基づいた分散型ディレクトリ上の情報へのアクセスをTLSコネクション上で行うためのポート
LPR,RFC1179,TCP/515,ラインプリンタデーモンとのコミュニケーションを行い、プリントを制御するためのプロトコル
NTP,RFC5905,UDP/123,インターネット上のコンピュータクロックの同期に広く使われるプロトコル
POP3,RFC1939,TCP/110,メールサーバにアクセスするためのプロトコル。サーバ上のメールはクライアントにダウンロードされたのち削除される。
POP3S,RFC8314,TCP/995,メールサーバにアクセスするためのプロトコルをTLSコネクション上で実行するポート。サーバ上のメールはクライアントにダウンロードされたのち削除される。
RIP,RFC2453,UDP/520,ディスタンスベクタ型のアルゴリズムを利用するルーティングプロトコル。最大ホップ数が15、IPv4でしか動作しないなどの制約がある。
RIPng,RFC2080,UDP/521,ディスタンスベクタ型のアルゴリズムを利用するルーティングプロトコル。IPv6に対応したもの。
rlogin,RFC1282,TCP/513,UNIXホスト間で用いられる、遠隔のサーバにログインするためのプロトコル
SMTP,RFC5321,TCP/25,メールを確実かつ効率的に転送するためのプロトコル
SNMP-Trap,RFC3411-3418,UDP/162,ネットワーク管理を行うためのプロトコルにおいて、ネットワークの要素が自身の状態を通知するときに用いるポート
SNMP,RFC3411-3418,UDP/161,ネットワーク管理を行うためのプロトコルにおいて、ネットワークの要素を制御したり情報を取得するときに用いるポート
SSH,RFC4251,TCP/22,安全でないネットワークを経由した安全な遠隔ログインやその他の安全なネットワークサービスのためのプロトコル
Submission port,RFC6409,TCP/587,スパムメール対策としてOP25Bを実施している際に、代替の送信用ポートとして用いられるポート
syslog,RFC5424、RFC5426,UDP/514,ネットワーク上の機器からのイベント通知を伝送するプロトコル
Telnet,RFC854,TCP/23,双方向、8bitバイト指向の通信機能を持つ汎用的な通信機能を提供することを目的とするプロトコル
TFTP,RFC1350,UDP/69,ファイル転送に用いられる、非常にシンプルなプロトコル
whois,RFC3912,TCP/43,インターネットのユーザに対して、情報サービスを提供するために広く使われているプロトコル
